Reporting Economy,Partner Economy,Product/Sector,Value
Switzerland,Turkey,Insurance and pension services,31.8
Switzerland,Turkey,Financial services,202.1
Switzerland,Turkey,Charges for the use of intellectual property n.i.e.,84.2
Switzerland,Turkey,"Telecommunications, computer, and information services",49.3
Switzerland,Turkey,Professional and management consulting services,22.9
Switzerland,Turkey,"Technical, trade-related, and other business services",30
Switzerland,United Kingdom,Transport,381.7
Switzerland,United Kingdom,Insurance and pension services,1081.2
Switzerland,United Kingdom,Financial services,1508.7
Switzerland,United Kingdom,Charges for the use of intellectual property n.i.e.,503.8
Switzerland,United Kingdom,"Telecommunications, computer, and information services",1569.9
Switzerland,United Kingdom,Research and development services,102
Switzerland,United Kingdom,Professional and management consulting services,826.5
Switzerland,United Kingdom,"Technical, trade-related, and other business services",662.8
Switzerland,United States of America,Transport,1682.4
Switzerland,United States of America,Insurance and pension services,1924.3
Switzerland,United States of America,Financial services,659.8
Switzerland,United States of America,Charges for the use of intellectual property n.i.e.,5004.9
Switzerland,United States of America,"Telecommunications, computer, and information services",2675.2
Switzerland,United States of America,Research and development services,1361.8
Switzerland,United States of America,Professional and management consulting services,817
Switzerland,United States of America,"Technical, trade-related, and other business services",3535.5
Switzerland,European Union,Transport,5900.3
Switzerland,European Union,Insurance and pension services,3062
Switzerland,European Union,Financial services,9470.1
Switzerland,European Union,Charges for the use of intellectual property n.i.e.,5212.3
Switzerland,European Union,"Telecommunications, computer, and information services",8029.7
Switzerland,European Union,Professional and management consulting services,3636.7
Switzerland,European Union,"Technical, trade-related, and other business services",3831.5
